08:20:57 [AccountInfo] Account connected (Account: santi, IpAddress: 192.168.1.9, GameServerCode: 0)
08:24:26 [AccountInfo] Account disconnected (Account: santi, IpAddress: 192.168.1.9, GameServerCode: 0)
08:25:11 [AccountInfo] Account connected (Account: santi, IpAddress: 192.168.1.9, GameServerCode: 0)
08:25:17 [AccountInfo] Account disconnected (Account: santi, IpAddress: 192.168.1.9, GameServerCode: 0)
08:25:43 [AccountInfo] Account connected (Account: santi, IpAddress: 192.168.1.9, GameServerCode: 0)
08:52:30 [AccountInfo] Account connected (Account: santi, IpAddress: 192.168.1.9, GameServerCode: 1)
08:52:39 [AccountInfo] Account connected (Account: santii, IpAddress: 192.168.1.9, GameServerCode: 1)
09:03:10 [AccountInfo] Account disconnected (Account: santii, IpAddress: 192.168.1.9, GameServerCode: 1)
09:03:22 [AccountInfo] Account connected (Account: santii, IpAddress: 192.168.1.9, GameServerCode: 2)
09:03:22 [AccountInfo] Account disconnected (Account: santii, IpAddress: 192.168.1.9, GameServerCode: 2)
09:03:28 [AccountInfo] Account disconnected (Account: santi, IpAddress: 192.168.1.9, GameServerCode: 1)
09:03:36 [AccountInfo] Account connected (Account: santi, IpAddress: 192.168.1.9, GameServerCode: 2)
09:03:53 [AccountInfo] Account disconnected (Account: santi, IpAddress: 192.168.1.9, GameServerCode: 2)
09:09:56 [AccountInfo] Account connected (Account: santi, IpAddress: 192.168.1.9, GameServerCode: 0)
09:14:02 [AccountInfo] Account disconnected (Account: santi, IpAddress: 192.168.1.9, GameServerCode: 0)
09:36:44 [AccountInfo] Account connected (Account: santi, IpAddress: 192.168.1.9, GameServerCode: 0)
09:37:45 [AccountInfo] Account disconnected (Account: santi, IpAddress: 192.168.1.9, GameServerCode: 0)
11:09:24 [AccountInfo] Account connected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
12:00:13 [AccountInfo] Account connected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
12:00:21 [AccountInfo] Account disconnected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
12:18:21 [AccountInfo] Account connected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
12:22:22 [AccountInfo] Account disconnected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
12:23:13 [AccountInfo] Account connected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
12:25:00 [AccountInfo] Account disconnected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
12:26:01 [AccountInfo] Account connected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
13:05:27 [AccountInfo] Account disconnected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
13:18:50 [AccountInfo] Account connected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
13:41:54 [AccountInfo] Account connected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
13:48:29 [AccountInfo] Account connected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
