06:03:37 [AccountInfo] Account connected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
06:35:43 [AccountInfo] Account disconnected by clear (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
06:53:58 [AccountInfo] Account connected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
06:54:09 [AccountInfo] Account disconnected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
06:55:42 [AccountInfo] Account connected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
07:01:26 [AccountInfo] Account disconnected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
07:04:21 [AccountInfo] Account connected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
07:14:56 [AccountInfo] Account disconnected by clear (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
10:24:27 [AccountInfo] Account connected (Account: root, IpAddress: 192.168.1.8, GameServerCode: 0)
10:33:43 [AccountInfo] Account connected (Account: root, IpAddress: 179.25.34.245, GameServerCode: 0)
10:34:28 [AccountInfo] Account connected (Account: santi, IpAddress: 167.58.6.34, GameServerCode: 0)
10:35:24 [AccountInfo] Account disconnected (Account: root, IpAddress: 179.25.34.245, GameServerCode: 0)
